RequestCode;Author;FM Author;Kode Dosen;JJA;Pendidikan;Type;S/F;Dept;Kampus;First Author;Sumber paper ;Bobot;Submitted;St2024;Jenis;Tipe Publikasi;Title ;Scopus Year;Source title;Publisher;Quartile Jurnal
2024-12-07-PUBLICATION-001;(JAMES LEWI DUYKERS, JERICHO SANTIAGO SALUDE, TAREQ ABDURRASHID DJALINS), FABIAN SURYA PRAMUDYA, BAKTI AMIRUL JABAR, THOMAS GALIH SATRIA, (Samsul Arifin);Fabian Surya Pramudya, S.T., M.T., Ph.D.;D6479;Lektor;Doktor (S3);Subject Content Coordinator;SOCS;Mathematics;SYAHDAN;N;Internal (PIB, PUB, Proins);0,333333333;Non Scopus FM;4Published;Jurnal;Nscopus;Prototyping a Nationwide Scopus-indexed InternationalConferenceWebGISApplication;2025;International Journal of Intelligent Systems and Applications in Engineering;;Jurnal non Scopus
2024-12-07-PUBLICATION-001;(JAMES LEWI DUYKERS, JERICHO SANTIAGO SALUDE, TAREQ ABDURRASHID DJALINS), FABIAN SURYA PRAMUDYA, BAKTI AMIRUL JABAR, THOMAS GALIH SATRIA, (Samsul Arifin);Bakti Amirul Jabar, S.Si., M.Kom.;D6673;Asisten Ahli;Pascasarjana (S2);Struktural;SOCS;Computer Science;SYAHDAN;N;Internal (PIB, PUB, Proins);0,333333333;Non Scopus FM;4Published;Jurnal;Nscopus;Prototyping a Nationwide Scopus-indexed InternationalConferenceWebGISApplication;2025;International Journal of Intelligent Systems and Applications in Engineering;;Jurnal non Scopus
2024-12-07-PUBLICATION-001;(JAMES LEWI DUYKERS, JERICHO SANTIAGO SALUDE, TAREQ ABDURRASHID DJALINS), FABIAN SURYA PRAMUDYA, BAKTI AMIRUL JABAR, THOMAS GALIH SATRIA, (Samsul Arifin);Thomas Galih Satria, S.Kom., M.TI;D5298;Asisten Ahli;Pascasarjana (S2);Subject Content Coordinator;SOCS;Computer Science;SYAHDAN;N;Internal (PIB, PUB, Proins);0,333333333;Non Scopus FM;4Published;Jurnal;Nscopus;Prototyping a Nationwide Scopus-indexed InternationalConferenceWebGISApplication;2025;International Journal of Intelligent Systems and Applications in Engineering;;Jurnal non Scopus
2024-12-07-PUBLICATION-002;ELISABETH ERMULIANA KEMBAREN;Elisabeth Ermuliana Kembaren, S.I.P., MA;D6544;Asisten Ahli;Pascasarjana (S2);Faculty Member;FHUM;International Relations (BINUS @Alam Sutera);Alsut;Y;Penelitian Mandiri;1;Non Scopus FM;4Published;Jurnal;Nscopus;TINJAUAN BIBLIOMETRIK TERHADAP LITERATUR OLIGARKI INDONESIA DAN DEMOKRASI INDONESIA;2025;Journal of Innovation Research and Knowledge;;Jurnal SINTA 5
2024-12-07-PUBLICATION-003;(FINO WILDAN RAMADAN, IMANUEL YUSUF SETIO BUDI, KEVIN FERNANDO, AGNES GONXHA FEBRIANE SUKMA, LUCIA SHERINA NATALIA KRISTIANTI), RAHMI YULIA NINGSIH, CHAIRANI PUTRI PRATIWI;Rahmi Yulia Ningsih, S.Pd., M.Pd.;D5475;Lektor;Doktor (S3);Struktural;VR1;Character Building Development Center;SYAHDAN;N;Penelitian Mandiri;0,5;Non Scopus FM;4Published;Jurnal;Nscopus;PERANCANGAN PURWARUPA SISTEM PEMINJAMAN FASILITAS ASRAMABERBASIS CODEIGNITER4;2025;JATI (Jurnal Mahasiswa Teknik Informatika);;Jurnal SINTA 5
2024-12-07-PUBLICATION-003;(FINO WILDAN RAMADAN, IMANUEL YUSUF SETIO BUDI, KEVIN FERNANDO, AGNES GONXHA FEBRIANE SUKMA, LUCIA SHERINA NATALIA KRISTIANTI), RAHMI YULIA NINGSIH, CHAIRANI PUTRI PRATIWI;Chairani Putri Pratiwi, B.Sc., M.Si.;D6569;Asisten Ahli;Pascasarjana (S2);Faculty Member;VR4;BINUS Entrepreneurship Center;SYAHDAN;N;Penelitian Mandiri;0,5;Non Scopus FM;4Published;Jurnal;Nscopus;PERANCANGAN PURWARUPA SISTEM PEMINJAMAN FASILITAS ASRAMABERBASIS CODEIGNITER4;2025;JATI (Jurnal Mahasiswa Teknik Informatika);;Jurnal SINTA 5
2024-12-08-PUBLICATION-001;INDRA PRAWIRA, MUSLIKHIN, (MAHARANI DEWI RIYADH);Indra Prawira, S.P., M.I.Kom., Ph.D;D4746;Lektor;Doktor (S3);Lecturer Specialist S3;FDCHT;Marketing Communication (BINUS @Alam Sutera);Alsut;Y;Penelitian Mandiri;0,5;Non Scopus FM;4Published;Jurnal;Nscopus;"ENVIRONMENTAL COMMUNICATION OF INDONESIAN GOVERNMENT; CRITICAL DISCOURSE ANALYSIS ON INDONESIAN MINISTRIES SOCIAL MEDIA POSTS";2025;Jurnal Wacana Politik;;Jurnal SINTA 2
2024-12-08-PUBLICATION-001;INDRA PRAWIRA, MUSLIKHIN, (MAHARANI DEWI RIYADH);Dr. Muslikhin, S.Pd., M.I.Kom;D5394;Lektor;Doktor (S3);Struktural;FDCHT;Marketing Communication;SYAHDAN;N;Penelitian Mandiri;0,5;Non Scopus FM;4Published;Jurnal;Nscopus;"ENVIRONMENTAL COMMUNICATION OF INDONESIAN GOVERNMENT; CRITICAL DISCOURSE ANALYSIS ON INDONESIAN MINISTRIES SOCIAL MEDIA POSTS";2025;Jurnal Wacana Politik;;Jurnal SINTA 2
2024-12-08-PUBLICATION-002/2025-01-02-PUBLICATION-010;AHMAD SAID, (Yulita P. Hanum Iskandar);Ahmad Said, S.T, MM;D6376;Lektor;Doktor (S3);Faculty Member;BBS;Binus Business School Undergraduate Program (BINUS @Alam Sutera);Alsut;Y;Penelitian Mandiri;1;Non Scopus FM;4Published;Jurnal;Nscopus;The Benefits of Adopting Sustainable Electronic Health Records (EHR) for Healthcare Providers: A Systematic Literature Review;2025;Indonesian Journal of Sustainability Accounting and Management;;Jurnal SINTA 2
2024-12-09-PUBLICATION-002;RUDI PRASETYO ARDI;Dr. Rudi Prasetyo Ardi, S.Pt., M.Si.;D6695;Lektor;Doktor (S3);Faculty Member;BBS;Binus Business School Undergraduate Program (BINUS @Alam Sutera);Alsut;Y;Penelitian Mandiri;1;Non Scopus FM;4Published;Jurnal;Nscopus;ANALISA LOCUS OF CONTROL DAN NEED FOR ARCHIEVEMENT PADA PENGELOLA AGROWISATA;2025;SEGMEN Jurnal Manajemen dan Bisnis;;Jurnal SINTA 4
