RequestCode;Author;FM Author;Kode Dosen;JJA;Pendidikan;Type;S/F;Dept;Kampus;First Author;Sumber paper ;Bobot;Submitted;St2024;Jenis;Tipe Publikasi;Title ;Scopus Year;Source title;Publisher;Quartile Jurnal
2024-12-10-PUBLICATION-002;EMMANUEL PUTRO PRAKOSO, GADIS FEBRIANI, YUDHISTYA AYU KUSUMAWATI;Yudhistya Ayu Kusumawati, S.Sn., M.Ds.;D5838;Lektor;Pascasarjana (S2);Lecturer Specialist;SOD;Visual Comm Design (BINUS @Malang);MALANG;N;Penelitian Mandiri;0,333333333;Non Scopus FM;2Reviewed;Jurnal;Nscopus;Cultural Commodities: The Semiotic Construction of Identity in Djarum 76 Advertisements;2025;JURNAL BAHASA RUPA;;Jurnal SINTA 3
2024-12-10-PUBLICATION-003;ASRI RADHITANTI, YUDHISTYA AYU KUSUMAWATI, (CHRISTOFORUS JUSTINE PRANOTO), LASMY;Yudhistya Ayu Kusumawati, S.Sn., M.Ds.;D5838;Lektor;Pascasarjana (S2);Lecturer Specialist;SOD;Visual Comm Design (BINUS @Malang);MALANG;N;Penelitian Mandiri;0,333333333;Non Scopus FM;4Published;Jurnal;Nscopus;Designing Infographics to Disseminate Information on Sea Turtle Conservation at Sekolah Alam of BSTC;2025;Jurnal Pengabdian kepada Masyarakat Nusantara;;Jurnal SINTA 5
2024-12-16-PUBLICATION-001;UZDA NABILA SHABIRIANI, ERSTO ARDIANTO, GANGGA SAPUTRA, DESSY TRI ANANDANI BAMBANG;Uzda Nabila Shabiriani, S.Ds., M.Ds.;D6543;Asisten Ahli;Pascasarjana (S2);Faculty Member;SOD;Visual Comm Design (BINUS @Malang);MALANG;Y;Penelitian Mandiri;0,25;Scopus FM;3Accepted;Jurnal;Scopus;Longitudinal Analysis of User Interface (UI) Evolution in Multi-Service Super-Apps: A Case Study of Gojek Indonesia (2015–2024);2025;International Journal of Advanced Computer Science and Applications (IJACSA);;Q3
2025-01-18-PUBLICATION-001;RUDI YULIO ARINDIONO;Rudi Yulio Arindiono, S.T., M.A;D6775;Tenaga Pengajar;Pascasarjana (S2);Faculty Member;SOD;Visual Comm Design (BINUS @Malang);MALANG;Y;Penelitian Mandiri;1;Non Scopus FM;4Published;Jurnal;Nscopus;STRATEGIC BRAND IDENTITY DESIGN FRAMEWORK FOR MICRO AND SMALL-SIZED DESIGN COMPANIES;2025;Journal of Scientech Research and Development;;Jurnal SINTA 6
2025-01-21-PUBLICATION-008;RIESTA DEVI KUMALASARI, (Achmad Sudiro, Rofiaty, Djumahir);Riesta Devi Kumalasari, S.E., M.M.;D5844;Lektor;Pascasarjana (S2);Subject Content Coordinator;BBS;Entre. - Buss. Creation (BINUS @Malang);MALANG;Y;Disertasi luar;1;Scopus FM;4Published;Jurnal;Scopus;Innovation Capability as a Key Mediator in the Impact of Networking Capability on SME Business Performance;2025;Pakistan Journal of Life and Social Sciences;;Q4
2025-01-30-PUBLICATION-003;(Yogi Tri Prasetyo, Maela Madel L. Cahigas, Eugene Patrick, Michael Rodney, Reny Nadlifatin), SATRIA FADIL PERSADA;Satria Fadil Persada, S.Kom., MBA., Ph.D.;D6654;Lektor Kepala;Doktor (S3);Lecturer Specialist S3;BBS;Entre. - Buss. Creation (BINUS @Malang);MALANG;N;Hibah Eksternal: Mapua University Directed Research for Innovation and Value Enhancement (DRIVE);1;Scopus FM;5Detected;Jurnal;Scopus;Indonesian martial artists’ preferences in martial arts schools: Sustaining business competitiveness through conjoint analysis;2025;PlosOne;;Q1
2025-01-30-PUBLICATION-004;(Cheselle Jan Roldan, Yogi Tri Prasetyo, Ardvin Kester S Ong, Irene Dyah Ayuwati), SATRIA FADIL PERSADA, (Reny Nadlifatin);Satria Fadil Persada, S.Kom., MBA., Ph.D.;D6654;Lektor Kepala;Doktor (S3);Lecturer Specialist S3;BBS;Entre. - Buss. Creation (BINUS @Malang);MALANG;N;Hibah Eksternal: Mapua University Directed Research for Innovation and Value Enhancement (DRIVE);1;Scopus FM;5Detected;Jurnal;Scopus;Copywriters’ preference evaluation on online copywriting course attributes during the COVID-19 pandemic;2025;PlosOne;;Q1
2025-01-30-PUBLICATION-005;(Tari Agustin, Rosalin Ismayoeng Gusdian), LAILATUL RIF'AH;Lailatul Rif'ah, S.Pd., M.Pd.;D6381;Lektor;Pascasarjana (S2);Struktural;FHUM;Digital Language Learning Center;MALANG;N;Penelitian Mandiri;1;Scopus FM;4Published;Jurnal;Scopus;Translanguaging in English Language Education Classrooms: A Case Study in Indonesian TESOL Program;2025;The Journal of Asia TEFL;;Q2
2025-01-30-PUBLICATION-006;(Reny Nadlifatin, Benedictus Bramantya Hendralaksono), SATRIA FADIL PERSADA, ETSA ASTRIDYA SETIYATI, (Yogi tri Prasetyo, Michael Nayat Young);Satria Fadil Persada, S.Kom., MBA., Ph.D.;D6654;Lektor Kepala;Doktor (S3);Lecturer Specialist S3;BBS;Entre. - Buss. Creation (BINUS @Malang);MALANG;N;Hibah Eksternal: Mapua University Directed Research for Innovation and Value Enhancement (DRIVE);1;Scopus FM;5Detected;Jurnal;Scopus;Determinant of online purchase intention and corporate website contextual relevance;2025;Cogent Business and Management;;Q2
2025-01-27-CON-001;(Dr. Dr. Puput Dani Prasetyo Adi, Ms. Ros Sariningrum, Mr. Rizky Rahmatullah, Ms. Hessy Novita, Mrs. Tiar Lina Situngkir, Mr. Priyo Hartono Adji, Mrs. Angela Mariana Lusiastuti, Mrs. Antonia Rahayu Rosaria Wibowo, Mr. Yudi Prastiyono, Mr. Tjahjo Adiprabowo, Mr. Muhammad Yassir), FAIRUZ IQBAL MAULANA;Fairuz Iqbal Maulana, S.T., M.T.;D6066;Lektor (300);Pascasarjana (S2);Struktural;SOCS;Computer Science (BINUS @Malang);MALANG;N;Penelitian Mandiri;1;Scopus FM;3Accepted;Seminar;Scopus;Light Fidelity and Internet of Things for Medical Applications;2025;2024 4th International Conference of Science and Information Technology in Smart Administration (ICSINTESA);;Proceeding
